Park Name,Category,count,Nativeness
Mount Rainier National Park,Bird,7,Not Native
Mount Rainier National Park,Fish,9,Native
Mount Rainier National Park,Fish,7,Not Native
Mount Rainier National Park,Fungi,1,Native
Mount Rainier National Park,Insect,45,Native
Mount Rainier National Park,Insect,1,Not Native
Mount Rainier National Park,Mammal,66,Native
Mount Rainier National Park,Mammal,3,Not Native
Mount Rainier National Park,Reptile,5,Native
Mount Rainier National Park,Vascular Plant,808,Native
Mount Rainier National Park,Vascular Plant,152,Not Native
North Cascades National Park,Amphibian,12,Native
North Cascades National Park,Bird,222,Native
North Cascades National Park,Bird,4,Not Native
North Cascades National Park,Fish,29,Native
North Cascades National Park,Fish,4,Not Native
North Cascades National Park,Fungi,2,Native
North Cascades National Park,Insect,313,Native
North Cascades National Park,Insect,5,Not Native
North Cascades National Park,Mammal,74,Native
North Cascades National Park,Mammal,4,Not Native
North Cascades National Park,Nonvascular Plant,187,Native
North Cascades National Park,Reptile,8,Native
North Cascades National Park,Spider/Scorpion,32,Native
North Cascades National Park,Vascular Plant,1223,Native
North Cascades National Park,Vascular Plant,232,Not Native
Olympic National Park,Amphibian,13,Native
Olympic National Park,Amphibian,1,Not Native
Olympic National Park,Bird,304,Native
Olympic National Park,Bird,5,Not Native
Olympic National Park,Fish,90,Native
Olympic National Park,Fish,5,Not Native
Olympic National Park,Insect,77,Native
Olympic National Park,Insect,2,Not Native
Olympic National Park,Mammal,62,Native
Olympic National Park,Mammal,9,Not Native
Olympic National Park,Reptile,6,Native
Olympic National Park,Vascular Plant,1066,Native
Olympic National Park,Vascular Plant,248,Not Native
Petrified Forest National Park,Amphibian,7,Native
Petrified Forest National Park,Bird,242,Native
Petrified Forest National Park,Bird,2,Not Native
Petrified Forest National Park,Mammal,60,Native
Petrified Forest National Park,Reptile,21,Native
Petrified Forest National Park,Vascular Plant,459,Native
Petrified Forest National Park,Vascular Plant,57,Not Native
Pinnacles National Park,Amphibian,9,Native
Pinnacles National Park,Amphibian,1,Not Native
Pinnacles National Park,Bird,165,Native
Pinnacles National Park,Bird,5,Not Native
Pinnacles National Park,Crab/Lobster/Shrimp,1,Native
Pinnacles National Park,Fish,1,Native
Pinnacles National Park,Fish,4,Not Native
Pinnacles National Park,Insect,67,Native
Pinnacles National Park,Insect,1,Not Native
Pinnacles National Park,Mammal,54,Native
Pinnacles National Park,Mammal,6,Not Native
Pinnacles National Park,Reptile,29,Native
Pinnacles National Park,Slug/Snail,1,Native
Pinnacles National Park,Vascular Plant,544,Native
Pinnacles National Park,Vascular Plant,127,Not Native
Redwood National Park,Amphibian,22,Native
Redwood National Park,Amphibian,1,Not Native
Redwood National Park,Bird,272,Native
Redwood National Park,Bird,51,Not Native
Redwood National Park,Fish,186,Native
Redwood National Park,Fish,23,Not Native
Redwood National Park,Mammal,107,Native
Redwood National Park,Mammal,8,Not Native
Redwood National Park,Reptile,32,Native
Redwood National Park,Vascular Plant,944,Native
Redwood National Park,Vascular Plant,285,Not Native
Rocky Mountain National Park,Algae,49,Native
Rocky Mountain National Park,Amphibian,5,Native
Rocky Mountain National Park,Bird,268,Native
Rocky Mountain National Park,Bird,4,Not Native
Rocky Mountain National Park,Fish,8,Native
Rocky Mountain National Park,Fish,4,Not Native
Rocky Mountain National Park,Fungi,35,Native
Rocky Mountain National Park,Insect,106,Native
Rocky Mountain National Park,Mammal,68,Native
Rocky Mountain National Park,Mammal,3,Not Native
Rocky Mountain National Park,Nonvascular Plant,63,Native
Rocky Mountain National Park,Reptile,3,Native
Rocky Mountain National Park,Slug/Snail,2,Native
Rocky Mountain National Park,Spider/Scorpion,21,Native
Rocky Mountain National Park,Vascular Plant,942,Native
Rocky Mountain National Park,Vascular Plant,97,Not Native
Saguaro National Park,Amphibian,8,Native
Saguaro National Park,Amphibian,1,Not Native
Saguaro National Park,Bird,228,Native
Saguaro National Park,Bird,6,Not Native
Saguaro National Park,Fungi,1,Native
Saguaro National Park,Mammal,72,Native
Saguaro National Park,Mammal,3,Not Native
Saguaro National Park,Reptile,55,Native
Saguaro National Park,Vascular Plant,1191,Native
Saguaro National Park,Vascular Plant,104,Not Native
Sequoia and Kings Canyon National Parks,Amphibian,12,Native
